max_value,expected_value,success,day
6.0,5.4,True,90
2.0,2.0,False,90
7.0,6.930000000000001,False,90
4.0,4.0,False,90
2.0,2.0,False,90
9.0,5.72566937457487,True,90
3.0,3.0,False,90
3.0,3.0,False,90
6.0,5.940000000000001,False,91
9.0,7.071103267264987,False,91
6.0,5.940000000000001,False,91
2.0,2.0,False,91
7.0,6.237000000000001,True,91
4.0,4.0,False,91
2.0,2.0,False,91
9.0,6.2982363120323575,False,91
3.0,3.0,False,91
3.0,3.0,False,91
6.0,6.0,False,92
9.0,7.778213593991486,False,92
6.0,5.346000000000001,True,92
2.0,2.0,False,92
7.0,5.613300000000001,True,92
4.0,4.0,False,92
2.0,2.0,False,92
9.0,6.928059943235594,False,92
3.0,3.0,False,92
3.0,3.0,False,92
6.0,6.0,False,93
9.0,8.556034953390636,False,93
6.0,5.880600000000001,False,93
2.0,2.0,False,93
7.0,6.174630000000001,False,93
4.0,4.0,False,93
2.0,2.0,False,93
9.0,6.235253948912034,True,93
3.0,2.7,True,93
3.0,3.0,False,93
6.0,6.0,False,94
9.0,7.700431458051573,True,94
6.0,6.0,False,94
2.0,2.0,False,94
7.0,6.792093000000002,False,94
4.0,4.0,False,94
2.0,2.0,False,94
9.0,6.8587793438032385,False,94
3.0,2.9700000000000006,False,94
3.0,3.0,False,94
6.0,6.0,False,95
9.0,8.470474603856731,False,95
6.0,5.4,True,95
2.0,2.0,False,95
7.0,7.0,False,95
4.0,4.0,False,95
2.0,2.0,False,95
9.0,7.544657278183563,False,95
3.0,2.6730000000000005,True,95
3.0,3.0,False,95
6.0,6.0,False,96
9.0,7.6234271434710585,True,96
6.0,5.940000000000001,False,96
2.0,2.0,False,96
7.0,6.3,True,96
4.0,4.0,False,96
2.0,2.0,False,96
9.0,8.29912300600192,False,96
3.0,2.9403000000000006,False,96
3.0,3.0,False,96
6.0,5.4,True,97
9.0,6.861084429123953,True,97
6.0,6.0,False,97
2.0,2.0,False,97
7.0,6.930000000000001,False,97
4.0,3.6,True,97
2.0,2.0,False,97
9.0,7.4692107054017285,True,97
3.0,3.0,False,97
3.0,3.0,False,97
6.0,5.940000000000001,False,98
9.0,6.174975986211558,True,98
6.0,5.4,True,98
2.0,2.0,False,98
7.0,6.237000000000001,True,98
4.0,3.9600000000000004,False,98
2.0,2.0,False,98
9.0,8.216131775941902,False,98
3.0,3.0,False,98
3.0,3.0,False,98
6.0,6.0,False,99
9.0,5.557478387590402,True,99
6.0,5.940000000000001,False,99
2.0,2.0,False,99
7.0,6.860700000000001,False,99
4.0,4.0,False,99
2.0,2.0,False,99
9.0,7.3945185983477115,True,99
3.0,3.0,False,99
3.0,3.0,False,99
6.0,5.4,True,100
9.0,5.001730548831362,True,100
6.0,6.0,False,100
2.0,2.0,False,100
7.0,6.174630000000001,True,100
4.0,4.0,False,100
2.0,2.0,False,100
9.0,8.133970458182484,False,100
3.0,3.0,False,100
3.0,3.0,False,100
